pokemonNumber,pokemonName,imageUrl,classification,alternateFormName,originalPokemonId,legendaryType,pokemonHeight,pokemonWeight,primaryType,secondaryType,primaryAbility,primaryAbilityDescription,secondaryAbility,secondaryAbilityDescription,hiddenAbility,hiddenAbilityDescription,specialEventAbility,specialEventAbilityDescription,maleRatio,femaleRatio,baseHappiness,gameOfOrigin,regionOfOrigin,healthStat,attackStat,defenseStat,specialAttackStat,specialDefenseStat,speedStat,baseStatTotal,healthEV,attackEV,defenseEV,specialAttackEV,specialDefenseEV,speedEV,evYieldTotal,catchRate,experienceGrowth,experienceGrowthTotal,experienceYield,primaryEggGroup,secondaryEggGroup,eggCycleCount,preEvolutionPokemonId,evolutionDetails
1,Bulbasaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,Seed Pokemon,,,,0.7,6.9,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,Medium Slow,1059860,64,Monster,Grass,20,,
2,Ivysaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,Seed Pokemon,,,,1,13,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,Medium Slow,1059860,142,Monster,Grass,20,1,Level 16
3,Venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,Seed Pokemon,,,,2,100,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,2,Level 32
3,Venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png,Seed Pokemon,Mega,3,,2.4,155.5,Grass,Poison,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",,,,,,,87.5,12.5,70,X / Y,Kalos,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,Medium Slow,1059860,281,Monster,Grass,20,,
3,Venusaur,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f3.png,Seed Pokemon,Gigantamax,3,,24,0,Grass,Poison,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,,,87.5,12.5,70,Sword / Shield,Galar,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,,
4,Charmander,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,Lizard Pokemon,,,,0.6,8.5,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",,,87.5,12.5,70,Red / Blue / Yellow,Kanto,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Monster,Dragon,20,,
5,Charmeleon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,Flame Pokemon,,,,1.1,19,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",,,87.5,12.5,70,Red / Blue / Yellow,Kanto,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Monster,Dragon,20,5,Level 16
6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,Flame Pokemon,,,,1.7,90.5,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",,,87.5,12.5,70,Red / Blue / Yellow,Kanto,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Monster,Dragon,20,6,Level 32
6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png,Flame Pokemon,Mega X,7,,1.7,110.5,Fire,Dragon,Tough Claws,Powers up moves that make direct contact. ,,,,,,,87.5,12.5,70,X / Y,Kalos,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,Dragon,20,,
6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png,Flame Pokemon,Mega Y,7,,1.7,100.5,Fire,Flying,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,,,,,87.5,12.5,70,X / Y,Kalos,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,285,Monster,Dragon,20,,
6,Charizard,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f4.png,Flame Pokemon,Gigantamax,7,,28,0,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",,,87.5,12.5,70,Sword / Shield,Galar,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Monster,Dragon,20,,
7,Squirtle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,Tiny Turtle Pokemon,,,,0.5,9,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,Medium Slow,1059860,63,Monster,Water 1,20,,
8,Wartortle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,Turtle Pokemon,,,,1,22.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,142,Monster,Water 1,20,10,Level 16
9,Blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,Shellfish Pokemon,,,,1.6,85.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,,,87.5,12.5,70,Red / Blue / Yellow,Kanto,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,11,Level 32
9,Blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png,Shellfish Pokemon,Mega,12,,1.6,101.1,Water,,Mega Launcher,Powers up aura and pulse moves. ,,,,,,,87.5,12.5,70,X / Y,Kalos,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,Medium Slow,1059860,284,Monster,Water 1,20,,
9,Blastoise,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f3.png,Shellfish Pokemon,Gigantamax,12,,25,0,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,,,87.5,12.5,70,Sword / Shield,Galar,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,,
